GeneSet	GeneSymbol
Up_in_VistaKO_MC38	CNBD2
Up_in_VistaKO_MC38	ENO2
Up_in_VistaKO_MC38	CEP85
Up_in_VistaKO_MC38	CCL5
Up_in_VistaKO_MC38	BTG2
Up_in_VistaKO_MC38	CAMK2B
Up_in_VistaKO_MC38	PLTP
Up_in_VistaKO_MC38	RAB7B
Up_in_VistaKO_MC38	GLUL
Up_in_VistaKO_MC38	GPR137B
Up_in_VistaKO_MC38	SMG7
Up_in_VistaKO_MC38	TMEM176B
Up_in_VistaKO_MC38	STK25
Up_in_VistaKO_MC38	FCRLA
Up_in_VistaKO_MC38	TMEM176A
Up_in_VistaKO_MC38	KCNJ10
Up_in_VistaKO_MC38	CDH23
Up_in_VistaKO_MC38	MFSD13A
Up_in_VistaKO_MC38	SFXN2
Up_in_VistaKO_MC38	PIANP
Up_in_VistaKO_MC38	CD209
Down_in_VistaKO_MC38	MPEG1
Down_in_VistaKO_MC38	CTSE
Down_in_VistaKO_MC38	VSIR
Down_in_VistaKO_MC38	SLAMF7
Down_in_VistaKO_MC38	NPL
Down_in_VistaKO_MC38	F11R
Down_in_VistaKO_MC38	SPP1
Down_in_VistaKO_MC38	PTTG1
Down_in_VistaKO_MC38	MAPK7
Down_in_VistaKO_MC38	ITGA6
Down_in_VistaKO_MC38	GALNT10
Down_in_VistaKO_MC38	ETS1
Down_in_VistaKO_MC38	MMP13
Down_in_VistaKO_MC38	STEAP3
Down_in_VistaKO_MC38	NOTCH4
Down_in_VistaKO_MC38	GZMB
Down_in_VistaKO_MC38	IL2RB
Down_in_VistaKO_MC38	CD28
Down_in_VistaKO_MC38	SLC2A3
Down_in_VistaKO_MC38	TNFRSF18
Down_in_VistaKO_MC38	TNFRSF4
Down_in_VistaKO_MC38	ICOS
Down_in_VistaKO_MC38	CD6
